"species" "mode" "size"
"Acanthurus_blochii" "Acanthurus_blochii" "MPF" 0.150486999657005
"Acanthurus_dussumieri" "Acanthurus_dussumieri" "MPF" 0.391754402779043
"Acanthurus_lineatus" "Acanthurus_lineatus" "MPF" 0.231115369591862
"Acanthurus_nigrofuscus" "Acanthurus_nigrofuscus" "MPF" 0.740555983269587
"Acanthurus_olivaceus" "Acanthurus_olivaceus" "MPF" 0.268025517696515
"Acanthurus_triostegus" "Acanthurus_triostegus" "MPF" 0.716861132765189
"Ctenochaetus_binotatus" "Ctenochaetus_binotatus" "MPF" 0.615469667362049
"Ctenochaetus_striatus" "Ctenochaetus_striatus" "MPF" 0.800241348333657
"Sufflamen_chrysopterus" "Sufflamen_chrysopterus" "MPF" 0.940413099713624
"Anampses_neoguinaicus" "Anampses_neoguinaicus" "MPF" 0.943233512574807
"Bodianus_mesothorax" "Bodianus_mesothorax" "MPF" 0.227171306265518
"Cheilinus_chlorurus" "Cheilinus_chlorurus" "MPF" 0.215497595723718
"Cheilinus_fasciatus" "Cheilinus_fasciatus" "MPF" 0.250657185679302
"Choerodon_fasciatus" "Choerodon_fasciatus" "MPF" 0.178507814882323
"Cirrhilabrus_punctatus" "Cirrhilabrus_punctatus" "MPF" 0.204565811669454
"Coris_batuensis" "Coris_batuensis" "MPF" 0.596638796851039
"Epibulus_insidiator" "Epibulus_insidiator" "MPF" 0.897677372675389
"Gomphosus_varius" "Gomphosus_varius" "MPF" 0.722206393955275
"Halichoeres_margaritaceus" "Halichoeres_margaritaceus" "MPF" 0.961224156664684
"Halichoeres_melanurus" "Halichoeres_melanurus" "MPF" 0.0139788747765124
"Hemigymnus_melapterus" "Hemigymnus_melapterus" "MPF" 0.26360160857439
"Labrichthys_unilineatus" "Labrichthys_unilineatus" "MPF" 0.469760343665257
"Labroides_dimidiatus" "Labroides_dimidiatus" "MPF" 0.539279469521716
"Macropharyngodon_negrosensis" "Macropharyngodon_negrosensis" "MPF" 0.220429230248556
"Oxycheilinus_digrammus" "Oxycheilinus_digrammus" "MPF" 0.650759448762983
"Pseudocheilinus_hexataenia" "Pseudocheilinus_hexataenia" "MPF" 0.691993626300246
"Stethojulis_bandanensis" "Stethojulis_bandanensis" "MPF" 0.012243052944541
"Thalassoma_janseni" "Thalassoma_janseni" "MPF" 0.0819907588884234
"Thalassoma_lunare" "Thalassoma_lunare" "MPF" 0.239938231185079
"Pomacanthus_sexstriatus" "Pomacanthus_sexstriatus" "MPF" 0.128659393405542
"Abudefduf_sexfasciatus" "Abudefduf_sexfasciatus" "MPF" 0.397498509846628
"Abudefduf_vaigiensis" "Abudefduf_vaigiensis" "MPF" 0.691319512436166
"Abudefduf_whitleyi" "Abudefduf_whitleyi" "MPF" 0.702120196307078
"Acanthochromis_polyacanthus" "Acanthochromis_polyacanthus" "MPF" 0.633233453612775
"Amblyglyphidodon_curacao" "Amblyglyphidodon_curacao" "MPF" 0.618353963131085
"Amphiprion_akindynos" "Amphiprion_akindynos" "MPF" 0.489612754900008
"Chromis_atripectoralis" "Chromis_atripectoralis" "MPF" 0.218074992531911
"Chromis_weberi" "Chromis_weberi" "MPF" 0.504439436364919
"Chrysiptera_brownriggi" "Chrysiptera_brownriggi" "MPF" 0.308933889959008
"Chrysiptera_rex" "Chrysiptera_rex" "MPF" 0.585585507797077
"Chrysiptera_rollandi" "Chrysiptera_rollandi" "MPF" 0.106594712007791
"Chrysiptera_talboti" "Chrysiptera_talboti" "MPF" 0.601049468619749
"Dascyllus_aruanus" "Dascyllus_aruanus" "MPF" 0.316274143056944
"Dascyllus_reticulatus" "Dascyllus_reticulatus" "MPF" 0.0476476878393441
"Dischistodus_melanotus" "Dischistodus_melanotus" "MPF" 0.69763461779803
"Neoglyphidodon_melas?" "Neoglyphidodon_melas?" "MPF" 0.00903186155483127
"Neoglyphidodon_nigroris" "Neoglyphidodon_nigroris" "MPF" 0.837103193392977
"Neopomacentrus_azysron" "Neopomacentrus_azysron" "MPF" 0.981900161830708
"Plectroglyphidodon_lacrymatus" "Plectroglyphidodon_lacrymatus" "MPF" 0.717451990349218
"Pomacentrus_amboinensis" "Pomacentrus_amboinensis" "MPF" 0.148101314669475
"Pomacentrus_bankanensis" "Pomacentrus_bankanensis" "MPF" 0.355156230507419
"Pomacentrus_brachialis" "Pomacentrus_brachialis" "MPF" 0.23730505630374
"Pomacentrus_chrysurus" "Pomacentrus_chrysurus" "MPF" 0.839213219471276
"Pomacentrus_coelestis" "Pomacentrus_coelestis" "MPF" 0.524223078740761
"Pomacentrus_lepidogenys" "Pomacentrus_lepidogenys" "MPF" 0.333892914000899
"Pomacentrus_nagasakiensis" "Pomacentrus_nagasakiensis" "MPF" 0.4232665929012
"Premnas_biaculeatus" "Premnas_biaculeatus" "MPF" 0.277508442290127
"Stegastes_apicalis" "Stegastes_apicalis" "MPF" 0.532098980154842
"Canthigaster_valentini" "Canthigaster_valentini" "MPF" 0.442027402343228
